latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
26.86335,95.50904,356.4,0.41,0.61,2026-01-16,601,N20,VIIRS,l,2.0NRT,288.53,10.77,D
26.86833,95.50574,336.87,0.41,0.61,2026-01-16,601,N20,VIIRS,n,2.0NRT,290.45,23.65,D
26.88574,95.31335,339.79,0.42,0.61,2026-01-16,601,N20,VIIRS,n,2.0NRT,290.92,4.75,D
26.88639,95.31227,341.18,0.42,0.61,2026-01-16,601,N20,VIIRS,n,2.0NRT,291.42,9.4,D
26.8898,95.30602,355.81,0.42,0.61,2026-01-16,601,N20,VIIRS,n,2.0NRT,294.45,11.86,D
26.89049,95.30487,343.24,0.42,0.61,2026-01-16,601,N20,VIIRS,n,2.0NRT,292.72,9.4,D
26.89089,95.31052,367.0,0.42,0.61,2026-01-16,601,N20,VIIRS,h,2.0NRT,293.93,11.86,D
26.89155,95.30943,367.0,0.42,0.61,2026-01-16,601,N20,VIIRS,h,2.0NRT,294.72,9.4,D
26.89215,95.31574,325.05,0.42,0.61,2026-01-16,601,N20,VIIRS,n,2.0NRT,289.76,5.43,D
26.89273,95.31446,331.4,0.42,0.61,2026-01-16,601,N20,VIIRS,n,2.0NRT,290.84,12.41,D
26.91301,95.30544,327.52,0.42,0.61,2026-01-16,601,N20,VIIRS,n,2.0NRT,293.01,3.17,D
26.9142,95.31037,337.64,0.42,0.61,2026-01-16,601,N20,VIIRS,n,2.0NRT,294.18,4.75,D
26.94665,94.44001,339.71,0.47,0.64,2026-01-16,601,N20,VIIRS,n,2.0NRT,296.58,4.6,D
26.95697,95.71187,352.12,0.4,0.6,2026-01-16,601,N20,VIIRS,n,2.0NRT,288.83,7.36,D
26.98923,94.2908,329.69,0.48,0.65,2026-01-16,601,N20,VIIRS,n,2.0NRT,294.82,2.24,D
27.05019,94.23694,326.49,0.48,0.65,2026-01-16,601,N20,VIIRS,n,2.0NRT,297.78,2.37,D
27.05832,94.56919,329.72,0.46,0.64,2026-01-16,601,N20,VIIRS,n,2.0NRT,295.97,3.67,D
27.26764,97.45819,355.5,0.61,0.53,2026-01-16,601,N20,VIIRS,n,2.0NRT,294.68,17.69,D
27.27052,97.455,352.02,0.61,0.53,2026-01-16,601,N20,VIIRS,n,2.0NRT,294.89,19.68,D
27.27115,97.451,332.19,0.61,0.53,2026-01-16,601,N20,VIIRS,n,2.0NRT,293.5,5.61,D
27.28298,94.79218,329.1,0.44,0.62,2026-01-16,601,N20,VIIRS,n,2.0NRT,296.52,5.14,D
27.70175,95.79369,336.14,0.37,0.58,2026-01-16,601,N20,VIIRS,n,2.0NRT,295.58,3.28,D
27.68441,91.84526,345.03,0.65,0.73,2026-01-16,603,N20,VIIRS,n,2.0NRT,289.3,13.5,D
27.68546,91.84489,340.33,0.66,0.73,2026-01-16,603,N20,VIIRS,n,2.0NRT,288.03,9.05,D
27.98892,93.49627,339.11,0.51,0.66,2026-01-16,603,N20,VIIRS,n,2.0NRT,287.43,5.2,D
27.99234,93.4943,336.07,0.51,0.66,2026-01-16,603,N20,VIIRS,n,2.0NRT,288.17,6.52,D
27.99317,93.49763,325.56,0.51,0.66,2026-01-16,603,N20,VIIRS,n,2.0NRT,286.78,6.01,D
28.03759,95.35111,367.0,0.39,0.59,2026-01-16,603,N20,VIIRS,h,2.0NRT,295.23,5.4,D
28.0743,95.55222,334.45,0.38,0.59,2026-01-16,603,N20,VIIRS,n,2.0NRT,294.47,4.68,D
28.0752,95.55598,349.8,0.38,0.59,2026-01-16,603,N20,VIIRS,n,2.0NRT,292.86,4.68,D
28.09005,95.54765,367.0,0.38,0.59,2026-01-16,603,N20,VIIRS,h,2.0NRT,300.4,13.58,D
28.20698,95.55153,334.21,0.38,0.59,2026-01-16,603,N20,VIIRS,n,2.0NRT,293.41,2.05,D
28.44735,94.38752,327.32,0.44,0.62,2026-01-16,603,N20,VIIRS,n,2.0NRT,286.21,4.62,D
28.44809,94.39049,334.15,0.44,0.62,2026-01-16,603,N20,VIIRS,n,2.0NRT,284.03,4.62,D
28.84863,95.95921,367.0,0.35,0.56,2026-01-16,603,N20,VIIRS,h,2.0NRT,299.62,26.67,D
28.84925,95.96187,354.82,0.35,0.56,2026-01-16,603,N20,VIIRS,n,2.0NRT,300.58,14.86,D
28.84993,95.96478,327.47,0.35,0.56,2026-01-16,603,N20,VIIRS,n,2.0NRT,289.09,14.86,D
32.0479,98.07331,336.27,0.45,0.47,2026-01-16,603,N20,VIIRS,n,2.0NRT,298.1,9.11,D
32.04884,98.0777,345.83,0.45,0.47,2026-01-16,603,N20,VIIRS,n,2.0NRT,300.27,9.11,D
8.86398,99.06503,327.62,0.75,0.77,2026-01-16,737,N20,VIIRS,n,2.0NRT,290.59,5.82,D
8.86672,99.06685,327.1,0.75,0.77,2026-01-16,737,N20,VIIRS,n,2.0NRT,290.17,6.13,D
9.55043,77.12132,335.05,0.63,0.54,2026-01-16,739,N20,VIIRS,n,2.0NRT,293.81,9.44,D
9.55261,77.12551,342.62,0.63,0.54,2026-01-16,739,N20,VIIRS,n,2.0NRT,294.25,7.58,D
